Year,Tm,Lg,W,L,Finish,Playoffs,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,Stadium,Revenue,Operating Income,Net Income
2005,Miami Marlins,NL East,83,79,3,,"1,852,608","22,872",15th of 16,"$60,408,834 ",94,94,Dolphins Stadium,119,43.3,
2005,Minnesota Twins,AL Central,83,79,3,,"2,034,243","25,114",9th of 14,"$56,186,000 ",102,102,Hubert H. Humphrey Metrodome,114,14.8,
2005,Detroit Tigers,AL Central,71,91,4,,"2,024,431","24,993",10th of 14,"$69,092,000 ",97,97,Comerica Park,146,8.7,
2005,Milwaukee Brewers,NL Central,81,81,3,,"2,211,023","27,297",11th of 16,"$39,934,833 ",101,100,Miller Park,131,20.8,
2005,Los Angeles Angels,AL West,95,67,1,Lost ALCS (4-1),"3,404,686","42,033",2nd of 14,"$94,867,822 ",97,98,Angel Stadium of Anaheim,167,11.5,
2005,Houston Astros,NL Central,89,73,2,Lost WS (4-0),"2,804,760","34,627",7th of 16,"$76,779,000 ",100,101,Minute Maid Park,173,18.4,
2005,Los Angeles Dodgers,NL West,71,91,4,,"3,603,646","44,489",1st of 16,"$83,039,000 ",97,98,Dodger Stadium,189,27.5,
2005,Kansas City Royals,AL Central,56,106,5,,"1,371,181","16,928",13th of 14,"$36,881,000 ",101,99,Kauffman Stadium,117,8.4,
2005,Atlanta Braves,NL East,90,72,1,Lost LDS (3-1),"2,521,167","31,126",10th of 16,"$86,457,302 ",100,101,Turner Field,172,14.8,
2006,Baltimore Orioles,AL East,70,92,4,,"2,153,139","26,582",10th of 14,"$72,585,582 ",99,99,Oriole Park at Camden Yards,158,17.1,
2006,Chicago White Sox,AL Central,90,72,3,,"2,957,414","36,511",3rd of 14,"$102,750,667 ",104,104,U.S. Cellular Field,173,19.5,
2006,Chicago Cubs,NL Central,66,96,6,,"3,123,215","38,558",5th of 16,"$94,424,499 ",103,103,Wrigley Field,197,22.2,
2006,Arizona Diamondbacks,NL West,76,86,4,,"2,091,685","25,823",14th of 16,"$59,984,226 ",105,105,Chase Field,154,6.4,
2006,Boston Red Sox,AL East,86,76,3,,"2,930,588","36,180",4th of 14,"$120,099,824 ",104,105,Fenway Park,234,19.5,
2006,Cleveland Indians,AL Central,78,84,4,,"1,997,995","24,667",11th of 14,"$56,031,500 ",98,99,Jacobs Field,158,24.9,
2006,Tampa Bay Rays,AL East,61,101,5,,"1,368,950","16,901",14th of 14,"$34,917,967 ",100,99,Tropicana Field,134,20.2,
2006,Washington Nationals,NL East,71,91,5,,"2,153,056","26,581",11th of 16,"$63,143,000 ",95,94,Robert F. Kennedy Stadium,144,19.5,
2006,Texas Rangers,AL West,80,82,3,,"2,388,757","29,491",7th of 14,"$68,228,662 ",101,101,Ameriquest Field,155,11.2,
2006,Toronto Blue Jays,AL East,87,75,2,,"2,302,212","28,422",8th of 14,"$71,365,000 ",100,100,Rogers Centre,157,11,
2006,Cincinnati Reds,NL Central,80,82,3,,"2,134,607","26,353",12th of 16,"$60,909,519 ",104,104,Great American Ball Park,146,22.4,
2006,St Louis Cardinals,NL Central,83,78,1,Won WS (4-1),"3,407,104","42,589",2nd of 16,"$88,891,371 ",99,99,Busch Stadium III,184,14,
2006,San Francisco Giants,NL West,76,85,3,,"3,130,313","38,646",4th of 16,"$90,056,419 ",100,100,AT&T Park,184,18.5,
2006,Seattle Mariners,AL West,78,84,4,,"2,481,165","30,632",6th of 14,"$87,959,833 ",97,97,Safeco Field,182,21.5,
2006,Philadelphia Phillies,NL East,85,77,2,,"2,701,815","33,356",7th of 16,"$88,273,333 ",104,105,Citizens Bank Park,183,11.3,
2006,Pittsburgh Pirates,NL Central,67,95,5,,"1,861,549","22,982",15th of 16,"$46,717,750 ",99,98,PNC Park,137,25.3,
2006,Colorado Rockies,NL West,76,86,4,,"2,104,362","25,980",13th of 16,"$41,233,000 ",109,109,Coors Field,151,23.9,
2006,Oakland Athletics,AL West,93,69,1,Lost ALCS (4-0),"1,976,625","24,403",12th of 14,"$64,843,079 ",97,97,McAfee Coliseum,146,14.5,
2006,New York Yankees,AL East,97,65,1,Lost LDS (3-1),"4,248,067","52,445",1st of 14,"$194,663,079 ",99,101,Yankee Stadium II,302,-25.2,
2006,New York Mets,NL East,97,65,1,Lost NLCS (4-3),"3,379,535","41,723",3rd of 16,"$101,584,963 ",97,98,Shea Stadium,217,24.4,
2006,Miami Marlins,NL East,78,84,4,,"1,164,134","14,372",16th of 16,"$14,671,500 ",96,95,Dolphins Stadium,122,35.6,
2006,Minnesota Twins,AL Central,96,66,1,Lost LDS (3-0),"2,285,018","28,210",9th of 14,"$63,396,006 ",98,98,Hubert H. Humphrey Metrodome,131,23.8,
2006,Detroit Tigers,AL Central,95,67,2,Lost WS (4-1),"2,595,937","32,049",5th of 14,"$82,612,866 ",99,100,Comerica Park,170,4.6,
2006,Milwaukee Brewers,NL Central,75,87,4,,"2,335,643","28,835",10th of 16,"$57,970,333 ",101,101,Miller Park,144,19.2,
2006,Los Angeles Angels,AL West,89,73,2,,"3,406,790","42,059",2nd of 14,"$103,472,000 ",99,100,Angel Stadium of Anaheim,187,15.2,
2006,Houston Astros,NL Central,82,80,2,,"3,022,763","37,318",6th of 16,"$100,894,435 ",99,100,Minute Maid Park,184,20.4,
2006,Los Angeles Dodgers,NL West,88,74,2,Lost LDS (3-0),"3,758,545","46,402",1st of 16,"$98,447,187 ",100,101,Dodger Stadium,211,20,
2006,Kansas City Royals,AL Central,62,100,5,,"1,372,638","16,946",13th of 14,"$47,694,000 ",103,101,Kauffman Stadium,123,7.4,
2006,Atlanta Braves,NL East,79,83,3,,"2,550,524","31,488",9th of 16,"$90,156,876 ",99,100,Turner Field,183,28.1,
2007,Baltimore Orioles,AL East,69,93,4,,"2,164,822","26,726",11th of 14,"$93,174,808 ",102,101,Oriole Park at Camden Yards,166,7.7,
2007,Chicago White Sox,AL Central,72,90,4,,"2,684,395","33,141",5th of 14,"$108,671,833 ",104,104,U.S. Cellular Field,193,30.6,
2007,Chicago Cubs,NL Central,85,77,1,Lost LDS (3-0),"3,252,462","40,154",4th of 16,"$101,670,332 ",104,105,Wrigley Field,214,21.4,
2007,Arizona Diamondbacks,NL West,90,72,1,Lost NLCS (4-0),"2,325,249","28,707",12th of 16,"$52,067,546 ",107,107,Chase Field,165,5.9,
2007,Boston Red Sox,AL East,96,66,1,Won WS (4-0),"2,970,755","36,676",4th of 14,"$143,026,214 ",105,106,Fenway Park,263,-19.1,
2007,Cleveland Indians,AL Central,96,66,1,Lost ALCS (4-3),"2,275,912","28,449",9th of 14,"$61,673,267 ",100,101,"Jacobs Field, Miller Park",181,29.2,
2007,Tampa Bay Rays,AL East,66,96,5,,"1,387,603","17,131",14th of 14,"$24,623,500 ",100,98,"Ballpark at Disney's Wide World of Sports, Tropicana Field",138,29.7,
2007,Washington Nationals,NL East,73,89,4,,"1,943,812","23,998",14th of 16,"$36,947,500 ",95,94,Robert F. Kennedy Stadium,153,43.7,
